LABEL	NAME	GENE_MODEL
PF00004	ATPase family associated with various cellular activities (AAA)	Zm00024ab168070;Zm00024ab086030;Zm00024ab264930;Zm00024ab441420;Zm00024ab441420;Zm00024ab189210;Zm00024ab189210;Zm00024ab113440;Zm00024ab303010;Zm00024ab223470;Zm00024ab386580;Zm00024ab168070;Zm00024ab386580;Zm00024ab080160;Zm00024ab018540;Zm00024ab321250;Zm00024ab321250;Zm00024ab168070;Zm00024ab256160;Zm00024ab189480;Zm00024ab256160;Zm00024ab184150;Zm00024ab033730;Zm00024ab366140;Zm00024ab121270;Zm00024ab014390;Zm00024ab320460;Zm00024ab209280;Zm00024ab285020;Zm00024ab019250;Zm00024ab255480;Zm00024ab121270;Zm00024ab172090;Zm00024ab172090;Zm00024ab189480;Zm00024ab208990;Zm00024ab015050;Zm00024ab047950;Zm00024ab047950;Zm00024ab299240;Zm00024ab135430;Zm00024ab014390;Zm00024ab085520;Zm00024ab121270;Zm00024ab033730;Zm00024ab252850;Zm00024ab277120;Zm00024ab352410;Zm00024ab352410;Zm00024ab240050;Zm00024ab053530;Zm00024ab307990;Zm00024ab402360;Zm00024ab402360;Zm00024ab411840;Zm00024ab411840;Zm00024ab020580;Zm00024ab351890;Zm00024ab352410;Zm00024ab073150;Zm00024ab073150;Zm00024ab073150;Zm00024ab073150;Zm00024ab351890;Zm00024ab229810;Zm00024ab352410;Zm00024ab431550;Zm00024ab431550;Zm00024ab352410;Zm00024ab352410;Zm00024ab181830;Zm00024ab181830;Zm00024ab307990;Zm00024ab240050;Zm00024ab351890;Zm00024ab326310;Zm00024ab411840;Zm00024ab411840;Zm00024ab033720;Zm00024ab383420;Zm00024ab303020;Zm00024ab277310;Zm00024ab277310;Zm00024ab277310;Zm00024ab251960;Zm00024ab081550;Zm00024ab167180;Zm00024ab167180;Zm00024ab382460;Zm00024ab062050;Zm00024ab312720;Zm00024ab277310;Zm00024ab277310;Zm00024ab260870;Zm00024ab394860;Zm00024ab068790;Zm00024ab358900;Zm00024ab245640;Zm00024ab245640;Zm00024ab167180;Zm00024ab398080;Zm00024ab398080;Zm00024ab398080;Zm00024ab406640;Zm00024ab160010;Zm00024ab160010;Zm00024ab406640;Zm00024ab126120;Zm00024ab364910;Zm00024ab001060;Zm00024ab112800;Zm00024ab273760;Zm00024ab207380;Zm00024ab273760;Zm00024ab435110;Zm00024ab364910;Zm00024ab420790;Zm00024ab364910;Zm00024ab044060;Zm00024ab040880;Zm00024ab005810;Zm00024ab364910;Zm00024ab197710;Zm00024ab261430;Zm00024ab439070;Zm00024ab261430;Zm00024ab329720;Zm00024ab329720;Zm00024ab000070;Zm00024ab012230;Zm00024ab325150;Zm00024ab159240;Zm00024ab155260;Zm00024ab368320;Zm00024ab159240;Zm00024ab385520;Zm00024ab262600;Zm00024ab244980;Zm00024ab417360;Zm00024ab159240;Zm00024ab017060;Zm00024ab246720;Zm00024ab244980;Zm00024ab159210;Zm00024ab105270;Zm00024ab118390;Zm00024ab159210;Zm00024ab159210;Zm00024ab279220;Zm00024ab229790;Zm00024ab191290;Zm00024ab387430;Zm00024ab387430;Zm00024ab118390;Zm00024ab118390;Zm00024ab231380;Zm00024ab218040;Zm00024ab126750;Zm00024ab352200;Zm00024ab231380;Zm00024ab225900;Zm00024ab225900;Zm00024ab258210;Zm00024ab118510;Zm00024ab179140;Zm00024ab179140;Zm00024ab276040;Zm00024ab258210;Zm00024ab333770;Zm00024ab240840;Zm00024ab342730;Zm00024ab162490;Zm00024ab363950;Zm00024ab338280;Zm00024ab167160;Zm00024ab299260;Zm00024ab299260;Zm00024ab394070;Zm00024ab163050;Zm00024ab367930;Zm00024ab346320;Zm00024ab091490;Zm00024ab417490;Zm00024ab417490;Zm00024ab367930;Zm00024ab367930;Zm00024ab367930;Zm00024ab446620;Zm00024ab164290;Zm00024ab287040;Zm00024ab402990;Zm00024ab164290;Zm00024ab004430;Zm00024ab004430;Zm00024ab338390;Zm00024ab196050;Zm00024ab113550;Zm00024ab401390;Zm00024ab191790;Zm00024ab004430;Zm00024ab004430;Zm00024ab117430;Zm00024ab352160;Zm00024ab367050;Zm00024ab283670;Zm00024ab237920;Zm00024ab115890;Zm00024ab435980;Zm00024ab435980;Zm00024ab117430;Zm00024ab196050
PF00005	ABC transporter	Zm00024ab405790;Zm00024ab405790;Zm00024ab076870;Zm00024ab066400;Zm00024ab066400;Zm00024ab038030;Zm00024ab038030;Zm00024ab263650;Zm00024ab418370;Zm00024ab418370;Zm00024ab047910;Zm00024ab418210;Zm00024ab244600;Zm00024ab084980;Zm00024ab076870;Zm00024ab084980;Zm00024ab164610;Zm00024ab164610;Zm00024ab418370;Zm00024ab418370;Zm00024ab317150;Zm00024ab339280;Zm00024ab339280;Zm00024ab073580;Zm00024ab073580;Zm00024ab070900;Zm00024ab073580;Zm00024ab073580;Zm00024ab322610;Zm00024ab013440;Zm00024ab223220;Zm00024ab405790;Zm00024ab405790;Zm00024ab084980;Zm00024ab157140;Zm00024ab157140;Zm00024ab042570;Zm00024ab312910;Zm00024ab118800;Zm00024ab118800;Zm00024ab124210;Zm00024ab124210;Zm00024ab380940;Zm00024ab446940;Zm00024ab087640;Zm00024ab118800;Zm00024ab118800;Zm00024ab446920;Zm00024ab164880;Zm00024ab035720;Zm00024ab035720;Zm00024ab218280;Zm00024ab218280;Zm00024ab165580;Zm00024ab165580;Zm00024ab400770;Zm00024ab365590;Zm00024ab365590;Zm00024ab151030;Zm00024ab201700;Zm00024ab201700;Zm00024ab003780;Zm00024ab003780;Zm00024ab131710;Zm00024ab131710;Zm00024ab184730;Zm00024ab365940;Zm00024ab421270;Zm00024ab003780;Zm00024ab003780;Zm00024ab329790;Zm00024ab329790;Zm00024ab363670;Zm00024ab363670;Zm00024ab131710;Zm00024ab131710;Zm00024ab131710;Zm00024ab131710;Zm00024ab321300;Zm00024ab321300;Zm00024ab394820;Zm00024ab345920;Zm00024ab434210;Zm00024ab434210;Zm00024ab394820;Zm00024ab116540;Zm00024ab116540;Zm00024ab039340;Zm00024ab039340;Zm00024ab114520;Zm00024ab434210;Zm00024ab434210;Zm00024ab434210;Zm00024ab434210;Zm00024ab394820;Zm00024ab316500;Zm00024ab316500;Zm00024ab394820;Zm00024ab208850;Zm00024ab039340;Zm00024ab039340;Zm00024ab224570;Zm00024ab039340;Zm00024ab039340;Zm00024ab039340;Zm00024ab434210;Zm00024ab434210;Zm00024ab158650;Zm00024ab158650;Zm00024ab244580;Zm00024ab349850;Zm00024ab349850;Zm00024ab070850;Zm00024ab446990;Zm00024ab321300;Zm00024ab321300;Zm00024ab224570;Zm00024ab442390;Zm00024ab442390;Zm00024ab247690;Zm00024ab247690;Zm00024ab070970;Zm00024ab425780;Zm00024ab425780;Zm00024ab282750;Zm00024ab282750;Zm00024ab349840;Zm00024ab445260;Zm00024ab348380;Zm00024ab348380;Zm00024ab013260;Zm00024ab013260;Zm00024ab204440;Zm00024ab348110;Zm00024ab403400;Zm00024ab403400;Zm00024ab135370;Zm00024ab135370;Zm00024ab313010;Zm00024ab330720;Zm00024ab346820;Zm00024ab346820;Zm00024ab070790;Zm00024ab313010;Zm00024ab146390;Zm00024ab429460;Zm00024ab429460;Zm00024ab070000;Zm00024ab070000;Zm00024ab157130;Zm00024ab157130;Zm00024ab345150;Zm00024ab270760;Zm00024ab391200;Zm00024ab310930;Zm00024ab310930;Zm00024ab343900;Zm00024ab343900;Zm00024ab229650;Zm00024ab310930;Zm00024ab429630;Zm00024ab157130;Zm00024ab411160;Zm00024ab411160;Zm00024ab313010;Zm00024ab229650;Zm00024ab070000;Zm00024ab070000;Zm00024ab384340;Zm00024ab384340;Zm00024ab384340;Zm00024ab384340;Zm00024ab384340;Zm00024ab384340;Zm00024ab424810;Zm00024ab098970;Zm00024ab098970;Zm00024ab315180;Zm00024ab378130;Zm00024ab090600;Zm00024ab378130;Zm00024ab378130;Zm00024ab089640;Zm00024ab435240;Zm00024ab435240;Zm00024ab209740;Zm00024ab209740;Zm00024ab016440;Zm00024ab429810;Zm00024ab429810;Zm00024ab435240;Zm00024ab435240;Zm00024ab282260;Zm00024ab446930;Zm00024ab093310;Zm00024ab378130;Zm00024ab363080;Zm00024ab365610;Zm00024ab365610;Zm00024ab016440;Zm00024ab016440;Zm00024ab415660;Zm00024ab415660;Zm00024ab175660;Zm00024ab158610;Zm00024ab158610;Zm00024ab004570;Zm00024ab181510;Zm00024ab089830;Zm00024ab089830;Zm00024ab354400;Zm00024ab376110;Zm00024ab441770;Zm00024ab142180;Zm00024ab142180;Zm00024ab066230;Zm00024ab315030;Zm00024ab164600;Zm00024ab164600;Zm00024ab392600;Zm00024ab392600;Zm00024ab392600;Zm00024ab368750;Zm00024ab368750;Zm00024ab142750;Zm00024ab142750;Zm00024ab142750;Zm00024ab142750;Zm00024ab142750;Zm00024ab142750;Zm00024ab164600;Zm00024ab164600;Zm00024ab397880;Zm00024ab392600;Zm00024ab392600;Zm00024ab167480;Zm00024ab081430;Zm00024ab081430;Zm00024ab194950;Zm00024ab341940;Zm00024ab016390;Zm00024ab292320;Zm00024ab358110;Zm00024ab341940;Zm00024ab382660;Zm00024ab382660;Zm00024ab191100;Zm00024ab191100;Zm00024ab194950;Zm00024ab328050;Zm00024ab358110;Zm00024ab181500;Zm00024ab194950;Zm00024ab071380;Zm00024ab071380;Zm00024ab358110;Zm00024ab438540;Zm00024ab438540;Zm00024ab323740;Zm00024ab263870;Zm00024ab263870;Zm00024ab169800;Zm00024ab169800;Zm00024ab307060;Zm00024ab307060;Zm00024ab384620;Zm00024ab208970;Zm00024ab208970;Zm00024ab403880;Zm00024ab070920;Zm00024ab016470;Zm00024ab016470;Zm00024ab178600;Zm00024ab178600;Zm00024ab045500
PF00006	ATP synthase alpha/beta family, nucleotide-binding domain	Zm00024ab159160;Zm00024ab448810;Zm00024ab183510;Zm00024ab210290;Zm00024ab447980;Zm00024ab446100;Zm00024ab237110;Zm00024ab446100;Zm00024ab393150;Zm00024ab393150;Zm00024ab450570;Zm00024ab445400;Zm00024ab282540;Zm00024ab448170;Zm00024ab447410;Zm00024ab184780;Zm00024ab282540;Zm00024ab184830;Zm00024ab282540;Zm00024ab282540;Zm00024ab282540;Zm00024ab446040;Zm00024ab274160;Zm00024ab448170;Zm00024ab448460;Zm00024ab448610;Zm00024ab350120;Zm00024ab350120;Zm00024ab300650;Zm00024ab449340;Zm00024ab274170;Zm00024ab447050;Zm00024ab448720;Zm00024ab450380;Zm00024ab448550;Zm00024ab445440;Zm00024ab447350
PF00009	Elongation factor Tu GTP binding domain	Zm00024ab437590;Zm00024ab065310;Zm00024ab065310;Zm00024ab065310;Zm00024ab096910;Zm00024ab186980;Zm00024ab065640;Zm00024ab290570;Zm00024ab290650;Zm00024ab065640;Zm00024ab290570;Zm00024ab290570;Zm00024ab290570;Zm00024ab067150;Zm00024ab067150;Zm00024ab088300;Zm00024ab076360;Zm00024ab076360;Zm00024ab067150;Zm00024ab076360;Zm00024ab053840;Zm00024ab331200;Zm00024ab385450;Zm00024ab352370;Zm00024ab430180;Zm00024ab211150;Zm00024ab211150;Zm00024ab331380;Zm00024ab250090;Zm00024ab282100;Zm00024ab282100;Zm00024ab282100;Zm00024ab282100;Zm00024ab083020;Zm00024ab394040;Zm00024ab394040;Zm00024ab394040;Zm00024ab394040;Zm00024ab394040;Zm00024ab394040;Zm00024ab282100;Zm00024ab440330;Zm00024ab064800;Zm00024ab064800;Zm00024ab292060;Zm00024ab292060;Zm00024ab292060;Zm00024ab292060;Zm00024ab108890;Zm00024ab353330;Zm00024ab353330;Zm00024ab353330;Zm00024ab379280;Zm00024ab379280;Zm00024ab290860;Zm00024ab156080;Zm00024ab064760;Zm00024ab156080;Zm00024ab394920;Zm00024ab108740;Zm00024ab064780;Zm00024ab064780;Zm00024ab241110;Zm00024ab241110;Zm00024ab214140
PF00010	Helix-loop-helix DNA-binding domain	Zm00024ab372780;Zm00024ab243680;Zm00024ab262740;Zm00024ab103090;Zm00024ab322400;Zm00024ab032060;Zm00024ab398430;Zm00024ab103090;Zm00024ab372780;Zm00024ab087630;Zm00024ab103090;Zm00024ab430520;Zm00024ab121760;Zm00024ab433160;Zm00024ab262740;Zm00024ab121760;Zm00024ab103090;Zm00024ab087630;Zm00024ab026060;Zm00024ab354410;Zm00024ab330850;Zm00024ab103090;Zm00024ab103090;Zm00024ab103090;Zm00024ab087630;Zm00024ab242420;Zm00024ab244310;Zm00024ab262740;Zm00024ab430520;Zm00024ab035680;Zm00024ab035680;Zm00024ab262740;Zm00024ab087630;Zm00024ab102030;Zm00024ab087630;Zm00024ab073450;Zm00024ab087630;Zm00024ab103490;Zm00024ab035680;Zm00024ab103090;Zm00024ab332920;Zm00024ab170190;Zm00024ab036720;Zm00024ab451590;Zm00024ab169190;Zm00024ab289460;Zm00024ab396470;Zm00024ab219170;Zm00024ab109910;Zm00024ab382140;Zm00024ab057500;Zm00024ab322700;Zm00024ab219170;Zm00024ab451590;Zm00024ab410050;Zm00024ab036720;Zm00024ab036720;Zm00024ab101040;Zm00024ab031600;Zm00024ab031580;Zm00024ab324750;Zm00024ab060200;Zm00024ab060200;Zm00024ab322160;Zm00024ab341460;Zm00024ab071480;Zm00024ab071480;Zm00024ab071480;Zm00024ab038590;Zm00024ab056640;Zm00024ab056640;Zm00024ab324750;Zm00024ab439730;Zm00024ab439730;Zm00024ab439730;Zm00024ab439730;Zm00024ab191050;Zm00024ab051690;Zm00024ab131500;Zm00024ab146160;Zm00024ab407820;Zm00024ab062070;Zm00024ab191050;Zm00024ab173460;Zm00024ab024660;Zm00024ab042040;Zm00024ab146160;Zm00024ab052930;Zm00024ab441440;Zm00024ab441440;Zm00024ab090940;Zm00024ab259550;Zm00024ab038980;Zm00024ab383930;Zm00024ab383930;Zm00024ab426480;Zm00024ab191760;Zm00024ab255660;Zm00024ab255660;Zm00024ab255660;Zm00024ab255660;Zm00024ab322750;Zm00024ab321640;Zm00024ab231790;Zm00024ab427360;Zm00024ab322750;Zm00024ab219300;Zm00024ab151360;Zm00024ab322750;Zm00024ab322750;Zm00024ab370700;Zm00024ab283820;Zm00024ab231790;Zm00024ab352620;Zm00024ab311210;Zm00024ab191760;Zm00024ab231790;Zm00024ab062940;Zm00024ab323430;Zm00024ab323430;Zm00024ab191760;Zm00024ab104620;Zm00024ab383930;Zm00024ab219300;Zm00024ab162590;Zm00024ab322750;Zm00024ab283820;Zm00024ab325250;Zm00024ab118340;Zm00024ab250480;Zm00024ab231790;Zm00024ab383930;Zm00024ab001690;Zm00024ab128680;Zm00024ab277140;Zm00024ab143400;Zm00024ab280910;Zm00024ab406680;Zm00024ab277140;Zm00024ab339440;Zm00024ab001690;Zm00024ab102700;Zm00024ab158080;Zm00024ab120810;Zm00024ab001690;Zm00024ab364610;Zm00024ab256430;Zm00024ab143400;Zm00024ab197090;Zm00024ab005970;Zm00024ab102880;Zm00024ab346630;Zm00024ab346630;Zm00024ab346630;Zm00024ab023580;Zm00024ab010280;Zm00024ab083390;Zm00024ab431040;Zm00024ab324240;Zm00024ab197770;Zm00024ab023580;Zm00024ab145190;Zm00024ab101110;Zm00024ab145190;Zm00024ab324240;Zm00024ab101110;Zm00024ab248430;Zm00024ab412590;Zm00024ab145190;Zm00024ab339200;Zm00024ab339200;Zm00024ab339200;Zm00024ab339200;Zm00024ab339200;Zm00024ab195550;Zm00024ab011990;Zm00024ab034160;Zm00024ab324240;Zm00024ab431040;Zm00024ab266160;Zm00024ab023580;Zm00024ab104200;Zm00024ab075240;Zm00024ab380550;Zm00024ab233500;Zm00024ab258930;Zm00024ab256100;Zm00024ab176090;Zm00024ab176090;Zm00024ab037490;Zm00024ab264980;Zm00024ab382780;Zm00024ab086950;Zm00024ab177100;Zm00024ab256100;Zm00024ab182460;Zm00024ab391400;Zm00024ab037490;Zm00024ab104200;Zm00024ab018880;Zm00024ab037490;Zm00024ab325330;Zm00024ab364860;Zm00024ab018880;Zm00024ab018880;Zm00024ab018880;Zm00024ab018880;Zm00024ab409200;Zm00024ab409200;Zm00024ab108490;Zm00024ab256100;Zm00024ab262180;Zm00024ab256100;Zm00024ab162810;Zm00024ab147050;Zm00024ab233500;Zm00024ab343240;Zm00024ab104200;Zm00024ab410940;Zm00024ab262890;Zm00024ab052900;Zm00024ab427400;Zm00024ab255190;Zm00024ab207430;Zm00024ab255190;Zm00024ab125340;Zm00024ab122790;Zm00024ab341620;Zm00024ab033230;Zm00024ab103880;Zm00024ab287340;Zm00024ab287340;Zm00024ab217170;Zm00024ab255190;Zm00024ab158000;Zm00024ab158000;Zm00024ab114360;Zm00024ab438710;Zm00024ab114360;Zm00024ab002490;Zm00024ab257450;Zm00024ab103880;Zm00024ab103880;Zm00024ab037990;Zm00024ab056820;Zm00024ab172270;Zm00024ab137070;Zm00024ab378110;Zm00024ab179480;Zm00024ab294930;Zm00024ab052920;Zm00024ab108610;Zm00024ab108610;Zm00024ab330360;Zm00024ab307140;Zm00024ab352030;Zm00024ab330360;Zm00024ab216440;Zm00024ab010270;Zm00024ab005890;Zm00024ab307140;Zm00024ab163100;Zm00024ab172270;Zm00024ab425060;Zm00024ab308460;Zm00024ab007100;Zm00024ab425060;Zm00024ab370740;Zm00024ab103060;Zm00024ab201710;Zm00024ab114960;Zm00024ab308460;Zm00024ab308460;Zm00024ab308460;Zm00024ab308460;Zm00024ab212920;Zm00024ab308460;Zm00024ab178360
PF00011	Hsp20/alpha crystallin family	Zm00024ab127140;Zm00024ab113920;Zm00024ab197110;Zm00024ab197110;Zm00024ab197110;Zm00024ab396190;Zm00024ab406340;Zm00024ab403560;Zm00024ab379600;Zm00024ab123680;Zm00024ab053600;Zm00024ab297300;Zm00024ab261360;Zm00024ab344720;Zm00024ab380870;Zm00024ab032870;Zm00024ab221590;Zm00024ab226150;Zm00024ab239920;Zm00024ab256570;Zm00024ab127120;Zm00024ab226150;Zm00024ab302890;Zm00024ab012380;Zm00024ab342510;Zm00024ab433440;Zm00024ab141840;Zm00024ab026970;Zm00024ab026970;Zm00024ab360450;Zm00024ab026950;Zm00024ab011110;Zm00024ab026950;Zm00024ab403520;Zm00024ab083000;Zm00024ab226120;Zm00024ab034800;Zm00024ab127110;Zm00024ab127110;Zm00024ab280770;Zm00024ab092010;Zm00024ab048280;Zm00024ab127100;Zm00024ab012350;Zm00024ab026820;Zm00024ab329680;Zm00024ab365090
PF00012	Hsp70 protein	Zm00024ab354060;Zm00024ab135680;Zm00024ab220520;Zm00024ab117460;Zm00024ab048600;Zm00024ab405980;Zm00024ab347490;Zm00024ab419260;Zm00024ab256530;Zm00024ab429900;Zm00024ab324090;Zm00024ab223550;Zm00024ab408540;Zm00024ab223550;Zm00024ab321590;Zm00024ab278770;Zm00024ab278770;Zm00024ab168050;Zm00024ab013000;Zm00024ab192100;Zm00024ab029770;Zm00024ab029770;Zm00024ab029770;Zm00024ab192100;Zm00024ab233480;Zm00024ab150770;Zm00024ab029770;Zm00024ab150770;Zm00024ab131020;Zm00024ab302060;Zm00024ab442770;Zm00024ab012980;Zm00024ab302060;Zm00024ab351740;Zm00024ab351740;Zm00024ab433890;Zm00024ab103620;Zm00024ab218540;Zm00024ab227750;Zm00024ab436720;Zm00024ab227750;Zm00024ab218540;Zm00024ab323710;Zm00024ab433810;Zm00024ab442780;Zm00024ab366620;Zm00024ab358980;Zm00024ab044150;Zm00024ab207080;Zm00024ab354840;Zm00024ab354030;Zm00024ab354030;Zm00024ab054680;Zm00024ab054680;Zm00024ab212960;Zm00024ab289140;Zm00024ab433800;Zm00024ab138930;Zm00024ab412430;Zm00024ab138930;Zm00024ab375950;Zm00024ab317070;Zm00024ab138930;Zm00024ab138930;Zm00024ab289000;Zm00024ab289000;Zm00024ab289000
PF00013	KH domain	Zm00024ab194310;Zm00024ab194310;Zm00024ab194310;Zm00024ab390920;Zm00024ab390920;Zm00024ab390920;Zm00024ab208490;Zm00024ab208490;Zm00024ab063000;Zm00024ab244170;Zm00024ab244170;Zm00024ab208490;Zm00024ab208490;Zm00024ab390920;Zm00024ab390920;Zm00024ab244170;Zm00024ab244170;Zm00024ab208490;Zm00024ab208490;Zm00024ab244170;Zm00024ab244170;Zm00024ab244170;Zm00024ab244170;Zm00024ab152100;Zm00024ab309170;Zm00024ab226390;Zm00024ab226390;Zm00024ab209560;Zm00024ab309170;Zm00024ab209560;Zm00024ab209560;Zm00024ab364620;Zm00024ab176990;Zm00024ab176990;Zm00024ab396260;Zm00024ab396260;Zm00024ab364230;Zm00024ab396260;Zm00024ab396260;Zm00024ab423010;Zm00024ab423010;Zm00024ab423010;Zm00024ab423010;Zm00024ab423010;Zm00024ab423010;Zm00024ab423010;Zm00024ab423010;Zm00024ab423010;Zm00024ab423010;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab400260;Zm00024ab396260;Zm00024ab396260;Zm00024ab176990;Zm00024ab176990;Zm00024ab224590;Zm00024ab224590;Zm00024ab224590;Zm00024ab224590;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab224590;Zm00024ab224590;Zm00024ab224590;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab283310;Zm00024ab283310;Zm00024ab283310;Zm00024ab224590;Zm00024ab224590;Zm00024ab224590;Zm00024ab224590;Zm00024ab399150;Zm00024ab399150;Zm00024ab399150;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab018800;Zm00024ab096850;Zm00024ab359830;Zm00024ab031550;Zm00024ab031550;Zm00024ab031550;Zm00024ab331520;Zm00024ab031550;Zm00024ab031550;Zm00024ab031550;Zm00024ab031550;Zm00024ab031550;Zm00024ab031550;Zm00024ab359830;Zm00024ab045470;Zm00024ab045470;Zm00024ab045470;Zm00024ab045470;Zm00024ab045470;Zm00024ab263800;Zm00024ab263800;Zm00024ab263800;Zm00024ab263800;Zm00024ab263800;Zm00024ab263800;Zm00024ab068150;Zm00024ab120580;Zm00024ab296310;Zm00024ab296310;Zm00024ab431140;Zm00024ab443550;Zm00024ab280820;Zm00024ab280820;Zm00024ab120550;Zm00024ab376950;Zm00024ab280820;Zm00024ab174230;Zm00024ab174230;Zm00024ab162820;Zm00024ab306480;Zm00024ab234280;Zm00024ab234280;Zm00024ab234280;Zm00024ab346640;Zm00024ab346640;Zm00024ab346640;Zm00024ab346640;Zm00024ab346640;Zm00024ab265180;Zm00024ab265180;Zm00024ab024270;Zm00024ab024270;Zm00024ab024270;Zm00024ab222270;Zm00024ab222270;Zm00024ab222270;Zm00024ab024270;Zm00024ab024270;Zm00024ab024270;Zm00024ab103800;Zm00024ab103800;Zm00024ab103800;Zm00024ab103800;Zm00024ab103800;Zm00024ab103800;Zm00024ab103800;Zm00024ab215440;Zm00024ab312190;Zm00024ab312190;Zm00024ab312190;Zm00024ab103800;Zm00024ab103800;Zm00024ab103800;Zm00024ab086840;Zm00024ab086840;Zm00024ab086840
PF00016	Ribulose bisphosphate carboxylase large chain, catalytic domain	Zm00024ab446110;Zm00024ab445580;Zm00024ab447770;Zm00024ab447420;Zm00024ab445780;Zm00024ab448540;Zm00024ab448180;Zm00024ab446420
PF00018	SH3 domain	Zm00024ab076280;Zm00024ab076280;Zm00024ab437740
