LABEL	NAME	GENE_MODEL
EC:1.-.-.-	Oxidoreductases.	Zm00024ab000270;Zm00024ab001190;Zm00024ab001190;Zm00024ab001190;Zm00024ab001500;Zm00024ab001550;Zm00024ab001720;Zm00024ab001930;Zm00024ab002480;Zm00024ab002740;Zm00024ab002740;Zm00024ab002740;Zm00024ab003640;Zm00024ab007170;Zm00024ab007620;Zm00024ab007620;Zm00024ab007620;Zm00024ab008690;Zm00024ab008760;Zm00024ab008930;Zm00024ab010840;Zm00024ab011090;Zm00024ab011880;Zm00024ab011880;Zm00024ab011880;Zm00024ab012390;Zm00024ab012550;Zm00024ab012560;Zm00024ab013460;Zm00024ab013470;Zm00024ab013470;Zm00024ab013480;Zm00024ab013480;Zm00024ab013480;Zm00024ab013870;Zm00024ab014180;Zm00024ab014430;Zm00024ab015450;Zm00024ab016030;Zm00024ab017610;Zm00024ab017870;Zm00024ab017880;Zm00024ab019370;Zm00024ab019370;Zm00024ab021340;Zm00024ab021420;Zm00024ab021420;Zm00024ab022040;Zm00024ab022260;Zm00024ab023070;Zm00024ab023070;Zm00024ab024960;Zm00024ab025340;Zm00024ab027780;Zm00024ab028420;Zm00024ab028420;Zm00024ab030270;Zm00024ab030750;Zm00024ab030750;Zm00024ab031960;Zm00024ab032200;Zm00024ab032760;Zm00024ab035590;Zm00024ab035790;Zm00024ab035790;Zm00024ab035910;Zm00024ab036360;Zm00024ab037170;Zm00024ab038100;Zm00024ab038100;Zm00024ab038100;Zm00024ab038100;Zm00024ab038870;Zm00024ab039740;Zm00024ab040260;Zm00024ab040720;Zm00024ab040730;Zm00024ab041590;Zm00024ab041900;Zm00024ab042400;Zm00024ab044640;Zm00024ab044780;Zm00024ab044780;Zm00024ab047650;Zm00024ab047670;Zm00024ab048000;Zm00024ab048010;Zm00024ab048020;Zm00024ab050650;Zm00024ab050650;Zm00024ab050760;Zm00024ab052280;Zm00024ab053370;Zm00024ab056190;Zm00024ab057320;Zm00024ab057320;Zm00024ab057320;Zm00024ab057320;Zm00024ab057320;Zm00024ab059920;Zm00024ab060570;Zm00024ab060570;Zm00024ab060570;Zm00024ab060730;Zm00024ab060740;Zm00024ab061080;Zm00024ab061140;Zm00024ab061150;Zm00024ab061340;Zm00024ab062200;Zm00024ab063680;Zm00024ab063760;Zm00024ab064330;Zm00024ab064710;Zm00024ab065060;Zm00024ab066060;Zm00024ab067450;Zm00024ab068070;Zm00024ab068080;Zm00024ab068090;Zm00024ab068100;Zm00024ab068190;Zm00024ab068190;Zm00024ab068920;Zm00024ab069920;Zm00024ab069920;Zm00024ab070060;Zm00024ab070060;Zm00024ab070060;Zm00024ab070060;Zm00024ab070060;Zm00024ab070060;Zm00024ab071090;Zm00024ab071120;Zm00024ab071120;Zm00024ab071120;Zm00024ab072610;Zm00024ab072890;Zm00024ab074050;Zm00024ab074200;Zm00024ab074200;Zm00024ab074310;Zm00024ab075040;Zm00024ab075040;Zm00024ab075040;Zm00024ab075040;Zm00024ab075040;Zm00024ab075090;Zm00024ab076540;Zm00024ab076540;Zm00024ab076540;Zm00024ab076620;Zm00024ab076630;Zm00024ab076630;Zm00024ab076650;Zm00024ab076650;Zm00024ab076650;Zm00024ab079730;Zm00024ab079770;Zm00024ab082250;Zm00024ab083030;Zm00024ab083240;Zm00024ab083240;Zm00024ab084260;Zm00024ab085050;Zm00024ab085050;Zm00024ab085060;Zm00024ab085420;Zm00024ab085460;Zm00024ab086500;Zm00024ab086510;Zm00024ab086510;Zm00024ab086510;Zm00024ab086510;Zm00024ab086510;Zm00024ab086530;Zm00024ab087300;Zm00024ab092200;Zm00024ab092990;Zm00024ab092990;Zm00024ab095050;Zm00024ab095050;Zm00024ab095170;Zm00024ab096320;Zm00024ab099200;Zm00024ab099880;Zm00024ab099880;Zm00024ab099880;Zm00024ab099990;Zm00024ab102780;Zm00024ab103890;Zm00024ab104070;Zm00024ab104070;Zm00024ab104070;Zm00024ab104070;Zm00024ab105110;Zm00024ab105110;Zm00024ab106550;Zm00024ab106550;Zm00024ab106620;Zm00024ab107080;Zm00024ab111500;Zm00024ab111810;Zm00024ab112830;Zm00024ab112830;Zm00024ab113250;Zm00024ab113250;Zm00024ab113990;Zm00024ab114670;Zm00024ab114670;Zm00024ab115210;Zm00024ab115490;Zm00024ab115490;Zm00024ab115720;Zm00024ab115930;Zm00024ab115990;Zm00024ab117360;Zm00024ab117360;Zm00024ab117440;Zm00024ab117450;Zm00024ab117570;Zm00024ab119010;Zm00024ab122160;Zm00024ab123170;Zm00024ab123270;Zm00024ab123280;Zm00024ab123330;Zm00024ab123330;Zm00024ab123330;Zm00024ab123770;Zm00024ab124720;Zm00024ab125530;Zm00024ab125540;Zm00024ab126100;Zm00024ab126100;Zm00024ab126100;Zm00024ab126100;Zm00024ab126100;Zm00024ab126170;Zm00024ab127840;Zm00024ab127850;Zm00024ab128860;Zm00024ab131130;Zm00024ab131540;Zm00024ab131540;Zm00024ab132100;Zm00024ab134020;Zm00024ab134850;Zm00024ab135450;Zm00024ab135460;Zm00024ab136250;Zm00024ab136310;Zm00024ab138570;Zm00024ab138570;Zm00024ab138570;Zm00024ab138570;Zm00024ab138570;Zm00024ab140310;Zm00024ab140310;Zm00024ab140530;Zm00024ab140530;Zm00024ab140530;Zm00024ab140650;Zm00024ab140830;Zm00024ab140830;Zm00024ab144600;Zm00024ab144600;Zm00024ab145120;Zm00024ab145120;Zm00024ab145120;Zm00024ab145170;Zm00024ab145170;Zm00024ab145170;Zm00024ab146750;Zm00024ab147530;Zm00024ab148230;Zm00024ab148400;Zm00024ab149130;Zm00024ab149260;Zm00024ab151320;Zm00024ab152200;Zm00024ab152200;Zm00024ab152580;Zm00024ab152730;Zm00024ab155490;Zm00024ab155490;Zm00024ab155490;Zm00024ab156140;Zm00024ab156260;Zm00024ab157440;Zm00024ab157830;Zm00024ab158120;Zm00024ab160680;Zm00024ab162220;Zm00024ab162220;Zm00024ab162600;Zm00024ab163060;Zm00024ab164980;Zm00024ab164980;Zm00024ab165570;Zm00024ab165910;Zm00024ab166230;Zm00024ab166230;Zm00024ab167120;Zm00024ab167640;Zm00024ab167640;Zm00024ab167700;Zm00024ab168430;Zm00024ab168470;Zm00024ab170590;Zm00024ab170770;Zm00024ab171420;Zm00024ab171420;Zm00024ab171420;Zm00024ab171420;Zm00024ab171540;Zm00024ab171540;Zm00024ab171540;Zm00024ab171540;Zm00024ab172310;Zm00024ab172440;Zm00024ab172780;Zm00024ab173260;Zm00024ab173320;Zm00024ab175320;Zm00024ab175330;Zm00024ab175580;Zm00024ab175580;Zm00024ab177070;Zm00024ab178520;Zm00024ab178800;Zm00024ab181320;Zm00024ab181910;Zm00024ab182410;Zm00024ab182650;Zm00024ab185370;Zm00024ab187470;Zm00024ab187560;Zm00024ab188190;Zm00024ab188200;Zm00024ab188810;Zm00024ab188810;Zm00024ab188830;Zm00024ab188880;Zm00024ab188970;Zm00024ab188980;Zm00024ab189030;Zm00024ab189030;Zm00024ab189060;Zm00024ab189110;Zm00024ab189190;Zm00024ab190370;Zm00024ab190370;Zm00024ab190370;Zm00024ab191250;Zm00024ab191250;Zm00024ab192280;Zm00024ab192280;Zm00024ab192670;Zm00024ab194470;Zm00024ab195140;Zm00024ab195230;Zm00024ab195410;Zm00024ab195610;Zm00024ab196540;Zm00024ab196540;Zm00024ab196840;Zm00024ab198930;Zm00024ab198930;Zm00024ab201260;Zm00024ab201260;Zm00024ab201510;Zm00024ab201890;Zm00024ab202260;Zm00024ab203510;Zm00024ab203520;Zm00024ab203520;Zm00024ab204110;Zm00024ab204540;Zm00024ab204540;Zm00024ab204770;Zm00024ab205110;Zm00024ab207030;Zm00024ab207910;Zm00024ab208890;Zm00024ab210550;Zm00024ab211800;Zm00024ab211800;Zm00024ab212800;Zm00024ab212930;Zm00024ab213850;Zm00024ab214170;Zm00024ab214400;Zm00024ab214400;Zm00024ab215840;Zm00024ab216760;Zm00024ab222390;Zm00024ab222610;Zm00024ab222610;Zm00024ab222610;Zm00024ab222610;Zm00024ab223350;Zm00024ab224780;Zm00024ab227670;Zm00024ab227820;Zm00024ab228150;Zm00024ab228280;Zm00024ab228280;Zm00024ab229350;Zm00024ab232580;Zm00024ab232740;Zm00024ab233490;Zm00024ab233490;Zm00024ab236170;Zm00024ab236710;Zm00024ab238090;Zm00024ab241580;Zm00024ab241580;Zm00024ab241580;Zm00024ab242960;Zm00024ab243210;Zm00024ab243250;Zm00024ab244410;Zm00024ab245130;Zm00024ab245730;Zm00024ab246400;Zm00024ab246930;Zm00024ab248030;Zm00024ab248120;Zm00024ab248120;Zm00024ab248140;Zm00024ab248150;Zm00024ab248160;Zm00024ab248160;Zm00024ab252200;Zm00024ab252320;Zm00024ab252480;Zm00024ab252560;Zm00024ab252560;Zm00024ab255680;Zm00024ab256060;Zm00024ab256200;Zm00024ab256210;Zm00024ab256210;Zm00024ab256710;Zm00024ab257120;Zm00024ab259410;Zm00024ab259970;Zm00024ab260590;Zm00024ab261420;Zm00024ab261840;Zm00024ab262310;Zm00024ab262640;Zm00024ab262760;Zm00024ab262760;Zm00024ab263560;Zm00024ab265040;Zm00024ab269610;Zm00024ab269610;Zm00024ab270060;Zm00024ab270060;Zm00024ab271720;Zm00024ab271720;Zm00024ab272980;Zm00024ab276980;Zm00024ab278170;Zm00024ab278180;Zm00024ab280340;Zm00024ab280770;Zm00024ab281350;Zm00024ab282010;Zm00024ab282450;Zm00024ab282500;Zm00024ab282870;Zm00024ab282880;Zm00024ab282930;Zm00024ab284530;Zm00024ab286050;Zm00024ab286050;Zm00024ab286080;Zm00024ab286520;Zm00024ab287090;Zm00024ab287170;Zm00024ab287170;Zm00024ab287270;Zm00024ab287820;Zm00024ab288070;Zm00024ab288690;Zm00024ab292210;Zm00024ab292970;Zm00024ab293350;Zm00024ab293350;Zm00024ab293400;Zm00024ab293450;Zm00024ab294630;Zm00024ab294630;Zm00024ab295050;Zm00024ab295050;Zm00024ab295050;Zm00024ab296460;Zm00024ab296570;Zm00024ab296760;Zm00024ab297470;Zm00024ab297680;Zm00024ab297760;Zm00024ab298980;Zm00024ab299050;Zm00024ab299610;Zm00024ab299730;Zm00024ab300310;Zm00024ab300310;Zm00024ab300840;Zm00024ab301650;Zm00024ab302160;Zm00024ab302160;Zm00024ab302640;Zm00024ab304520;Zm00024ab305470;Zm00024ab305720;Zm00024ab306250;Zm00024ab306530;Zm00024ab307040;Zm00024ab307640;Zm00024ab309840;Zm00024ab310290;Zm00024ab310700;Zm00024ab310700;Zm00024ab311240;Zm00024ab311240;Zm00024ab313810;Zm00024ab313810;Zm00024ab313820;Zm00024ab313820;Zm00024ab313820;Zm00024ab314720;Zm00024ab314720;Zm00024ab315970;Zm00024ab316220;Zm00024ab316640;Zm00024ab316760;Zm00024ab316760;Zm00024ab316820;Zm00024ab316880;Zm00024ab318300;Zm00024ab319620;Zm00024ab320280;Zm00024ab321450;Zm00024ab321540;Zm00024ab321830;Zm00024ab321850;Zm00024ab322310;Zm00024ab323410;Zm00024ab324290;Zm00024ab325090;Zm00024ab325090;Zm00024ab325090;Zm00024ab325090;Zm00024ab325090;Zm00024ab325090;Zm00024ab326410;Zm00024ab326910;Zm00024ab328470;Zm00024ab328540;Zm00024ab328540;Zm00024ab328540;Zm00024ab328670;Zm00024ab329250;Zm00024ab330870;Zm00024ab332080;Zm00024ab333060;Zm00024ab333310;Zm00024ab333930;Zm00024ab334480;Zm00024ab334830;Zm00024ab334910;Zm00024ab335800;Zm00024ab335800;Zm00024ab336000;Zm00024ab336920;Zm00024ab338860;Zm00024ab340180;Zm00024ab343000;Zm00024ab343680;Zm00024ab343680;Zm00024ab344570;Zm00024ab346690;Zm00024ab346780;Zm00024ab347840;Zm00024ab348160;Zm00024ab349460;Zm00024ab350270;Zm00024ab350870;Zm00024ab350990;Zm00024ab351820;Zm00024ab352850;Zm00024ab353820;Zm00024ab356830;Zm00024ab359890;Zm00024ab359970;Zm00024ab360060;Zm00024ab360060;Zm00024ab360060;Zm00024ab363490;Zm00024ab363490;Zm00024ab363740;Zm00024ab364800;Zm00024ab364800;Zm00024ab364800;Zm00024ab364800;Zm00024ab365790;Zm00024ab365790;Zm00024ab366670;Zm00024ab367450;Zm00024ab369260;Zm00024ab370290;Zm00024ab370290;Zm00024ab370830;Zm00024ab371680;Zm00024ab374050;Zm00024ab374050;Zm00024ab374520;Zm00024ab376310;Zm00024ab376310;Zm00024ab376440;Zm00024ab376500;Zm00024ab377030;Zm00024ab377890;Zm00024ab378670;Zm00024ab378670;Zm00024ab378670;Zm00024ab379000;Zm00024ab381050;Zm00024ab381060;Zm00024ab381130;Zm00024ab381130;Zm00024ab381410;Zm00024ab382100;Zm00024ab383130;Zm00024ab383130;Zm00024ab383190;Zm00024ab383210;Zm00024ab383220;Zm00024ab383230;Zm00024ab383230;Zm00024ab383250;Zm00024ab383250;Zm00024ab385480;Zm00024ab386490;Zm00024ab386680;Zm00024ab387750;Zm00024ab387750;Zm00024ab388140;Zm00024ab392920;Zm00024ab392950;Zm00024ab392970;Zm00024ab394340;Zm00024ab395220;Zm00024ab396190;Zm00024ab396400;Zm00024ab397130;Zm00024ab400010;Zm00024ab400010;Zm00024ab400690;Zm00024ab402420;Zm00024ab403220;Zm00024ab403920;Zm00024ab404090;Zm00024ab404950;Zm00024ab405130;Zm00024ab405250;Zm00024ab405400;Zm00024ab405650;Zm00024ab407200;Zm00024ab408830;Zm00024ab409410;Zm00024ab411020;Zm00024ab411940;Zm00024ab411940;Zm00024ab411940;Zm00024ab411940;Zm00024ab411950;Zm00024ab412510;Zm00024ab412710;Zm00024ab413380;Zm00024ab413380;Zm00024ab413380;Zm00024ab413380;Zm00024ab413500;Zm00024ab417010;Zm00024ab417840;Zm00024ab418610;Zm00024ab419540;Zm00024ab419920;Zm00024ab420260;Zm00024ab420260;Zm00024ab420450;Zm00024ab422930;Zm00024ab423120;Zm00024ab423120;Zm00024ab423120;Zm00024ab425290;Zm00024ab425740;Zm00024ab425740;Zm00024ab425740;Zm00024ab425740;Zm00024ab425740;Zm00024ab425740;Zm00024ab425740;Zm00024ab425740;Zm00024ab426060;Zm00024ab426060;Zm00024ab426060;Zm00024ab426110;Zm00024ab426220;Zm00024ab428040;Zm00024ab428060;Zm00024ab428070;Zm00024ab428080;Zm00024ab429550;Zm00024ab430420;Zm00024ab430420;Zm00024ab430420;Zm00024ab430720;Zm00024ab430720;Zm00024ab430720;Zm00024ab430720;Zm00024ab430930;Zm00024ab432550;Zm00024ab432550;Zm00024ab432850;Zm00024ab435410;Zm00024ab435770;Zm00024ab437390;Zm00024ab437400;Zm00024ab437410;Zm00024ab437420;Zm00024ab437430;Zm00024ab437440;Zm00024ab437440;Zm00024ab437440;Zm00024ab437440;Zm00024ab438800;Zm00024ab438850;Zm00024ab439530;Zm00024ab442430;Zm00024ab443580;Zm00024ab443580;Zm00024ab443830;Zm00024ab444150;Zm00024ab450260;Zm00024ab450260
EC:1.1.-.-	Acting on the CH-OH group of donors.	Zm00024ab021800;Zm00024ab021800;Zm00024ab031730;Zm00024ab042630;Zm00024ab074450;Zm00024ab137960;Zm00024ab151230;Zm00024ab163090;Zm00024ab163090;Zm00024ab254430;Zm00024ab279990;Zm00024ab317410;Zm00024ab364880;Zm00024ab364880;Zm00024ab412800
EC:1.1.1.-	With NAD(+) or NADP(+) as acceptor.	Zm00024ab013800;Zm00024ab017700;Zm00024ab025530;Zm00024ab025540;Zm00024ab025540;Zm00024ab028400;Zm00024ab036040;Zm00024ab036040;Zm00024ab036040;Zm00024ab036040;Zm00024ab038800;Zm00024ab038800;Zm00024ab039500;Zm00024ab039500;Zm00024ab040510;Zm00024ab041560;Zm00024ab047660;Zm00024ab054960;Zm00024ab059420;Zm00024ab078440;Zm00024ab083520;Zm00024ab090660;Zm00024ab097600;Zm00024ab098760;Zm00024ab098760;Zm00024ab098760;Zm00024ab098760;Zm00024ab098760;Zm00024ab098760;Zm00024ab103630;Zm00024ab145020;Zm00024ab148110;Zm00024ab151460;Zm00024ab161810;Zm00024ab163660;Zm00024ab179260;Zm00024ab182640;Zm00024ab186970;Zm00024ab194860;Zm00024ab215330;Zm00024ab215330;Zm00024ab215340;Zm00024ab215350;Zm00024ab217690;Zm00024ab228600;Zm00024ab232800;Zm00024ab232800;Zm00024ab232800;Zm00024ab232800;Zm00024ab237850;Zm00024ab237850;Zm00024ab241290;Zm00024ab246450;Zm00024ab251580;Zm00024ab280750;Zm00024ab280750;Zm00024ab290920;Zm00024ab305390;Zm00024ab311570;Zm00024ab313140;Zm00024ab313140;Zm00024ab313140;Zm00024ab313770;Zm00024ab313770;Zm00024ab318100;Zm00024ab321360;Zm00024ab321360;Zm00024ab323720;Zm00024ab323720;Zm00024ab323720;Zm00024ab323720;Zm00024ab323720;Zm00024ab323730;Zm00024ab323730;Zm00024ab323750;Zm00024ab323760;Zm00024ab323850;Zm00024ab323850;Zm00024ab323850;Zm00024ab323850;Zm00024ab333480;Zm00024ab340620;Zm00024ab340630;Zm00024ab345280;Zm00024ab346460;Zm00024ab346460;Zm00024ab346460;Zm00024ab366820;Zm00024ab377660;Zm00024ab382700;Zm00024ab382700;Zm00024ab382700;Zm00024ab386590;Zm00024ab390510;Zm00024ab390510;Zm00024ab394350;Zm00024ab396080;Zm00024ab396080;Zm00024ab396080;Zm00024ab396080;Zm00024ab396080;Zm00024ab396080;Zm00024ab396100;Zm00024ab396140;Zm00024ab396150;Zm00024ab396150;Zm00024ab396800;Zm00024ab402690;Zm00024ab409570;Zm00024ab416170;Zm00024ab422500;Zm00024ab428600;Zm00024ab428620;Zm00024ab435040;Zm00024ab441960;Zm00024ab441970;Zm00024ab447610
EC:1.1.3.-	With oxygen as acceptor.	Zm00024ab247840;Zm00024ab432510
EC:1.10.3.-	With oxygen as acceptor.	Zm00024ab071490;Zm00024ab388990;Zm00024ab429610;Zm00024ab445930;Zm00024ab447250;Zm00024ab447870;Zm00024ab448080;Zm00024ab448680;Zm00024ab449200;Zm00024ab450220
EC:1.11.-.-	Acting on a peroxide as acceptor.	Zm00024ab013570;Zm00024ab013570;Zm00024ab219160;Zm00024ab219160;Zm00024ab219160
EC:1.11.1.-	Peroxidases.	Zm00024ab001630;Zm00024ab001630;Zm00024ab001630;Zm00024ab003440;Zm00024ab003850;Zm00024ab004460;Zm00024ab005190;Zm00024ab010520;Zm00024ab010530;Zm00024ab010530;Zm00024ab010540;Zm00024ab013780;Zm00024ab018390;Zm00024ab018410;Zm00024ab018440;Zm00024ab018450;Zm00024ab018460;Zm00024ab021130;Zm00024ab021130;Zm00024ab022280;Zm00024ab023350;Zm00024ab023350;Zm00024ab023350;Zm00024ab024460;Zm00024ab024870;Zm00024ab024870;Zm00024ab024870;Zm00024ab025880;Zm00024ab026030;Zm00024ab027360;Zm00024ab027360;Zm00024ab037260;Zm00024ab040940;Zm00024ab043560;Zm00024ab043810;Zm00024ab043820;Zm00024ab044930;Zm00024ab045650;Zm00024ab045650;Zm00024ab047110;Zm00024ab047380;Zm00024ab047900;Zm00024ab054430;Zm00024ab059010;Zm00024ab059010;Zm00024ab063500;Zm00024ab063510;Zm00024ab063720;Zm00024ab068890;Zm00024ab069330;Zm00024ab069340;Zm00024ab072680;Zm00024ab072680;Zm00024ab073850;Zm00024ab077140;Zm00024ab077140;Zm00024ab077150;Zm00024ab077160;Zm00024ab077170;Zm00024ab077210;Zm00024ab077220;Zm00024ab080500;Zm00024ab081730;Zm00024ab083710;Zm00024ab084300;Zm00024ab090720;Zm00024ab090720;Zm00024ab090720;Zm00024ab090720;Zm00024ab090720;Zm00024ab090720;Zm00024ab091620;Zm00024ab097270;Zm00024ab097860;Zm00024ab104060;Zm00024ab111630;Zm00024ab111650;Zm00024ab111660;Zm00024ab112990;Zm00024ab115220;Zm00024ab115250;Zm00024ab115270;Zm00024ab116270;Zm00024ab119940;Zm00024ab120240;Zm00024ab121570;Zm00024ab130250;Zm00024ab130250;Zm00024ab130430;Zm00024ab130710;Zm00024ab131910;Zm00024ab131940;Zm00024ab131940;Zm00024ab131950;Zm00024ab131950;Zm00024ab132980;Zm00024ab133000;Zm00024ab133780;Zm00024ab133830;Zm00024ab133830;Zm00024ab134810;Zm00024ab137610;Zm00024ab141260;Zm00024ab142960;Zm00024ab142970;Zm00024ab147000;Zm00024ab147000;Zm00024ab149950;Zm00024ab149950;Zm00024ab151090;Zm00024ab151090;Zm00024ab153560;Zm00024ab156660;Zm00024ab156660;Zm00024ab156660;Zm00024ab156660;Zm00024ab159650;Zm00024ab159650;Zm00024ab160070;Zm00024ab165940;Zm00024ab166010;Zm00024ab166350;Zm00024ab170510;Zm00024ab171490;Zm00024ab171770;Zm00024ab183880;Zm00024ab184660;Zm00024ab189170;Zm00024ab190960;Zm00024ab190960;Zm00024ab191560;Zm00024ab191720;Zm00024ab191720;Zm00024ab192650;Zm00024ab198160;Zm00024ab198560;Zm00024ab198570;Zm00024ab201180;Zm00024ab201180;Zm00024ab208290;Zm00024ab210920;Zm00024ab212250;Zm00024ab212250;Zm00024ab214250;Zm00024ab214780;Zm00024ab217950;Zm00024ab224240;Zm00024ab224240;Zm00024ab225890;Zm00024ab227650;Zm00024ab228540;Zm00024ab228540;Zm00024ab228540;Zm00024ab229540;Zm00024ab229560;Zm00024ab229590;Zm00024ab229610;Zm00024ab231230;Zm00024ab242840;Zm00024ab243020;Zm00024ab243080;Zm00024ab243080;Zm00024ab243100;Zm00024ab243100;Zm00024ab243100;Zm00024ab245020;Zm00024ab247220;Zm00024ab258310;Zm00024ab265290;Zm00024ab266260;Zm00024ab266260;Zm00024ab269830;Zm00024ab269830;Zm00024ab272380;Zm00024ab272380;Zm00024ab272380;Zm00024ab272380;Zm00024ab273370;Zm00024ab281290;Zm00024ab281370;Zm00024ab282900;Zm00024ab283100;Zm00024ab283400;Zm00024ab283400;Zm00024ab283520;Zm00024ab283860;Zm00024ab284680;Zm00024ab286200;Zm00024ab286610;Zm00024ab287590;Zm00024ab287600;Zm00024ab287600;Zm00024ab292280;Zm00024ab292280;Zm00024ab294200;Zm00024ab294200;Zm00024ab295190;Zm00024ab295190;Zm00024ab297220;Zm00024ab297230;Zm00024ab298550;Zm00024ab298820;Zm00024ab298820;Zm00024ab299950;Zm00024ab300230;Zm00024ab301130;Zm00024ab302370;Zm00024ab302420;Zm00024ab302430;Zm00024ab302440;Zm00024ab303790;Zm00024ab303800;Zm00024ab303820;Zm00024ab303820;Zm00024ab303830;Zm00024ab308900;Zm00024ab308900;Zm00024ab308900;Zm00024ab310770;Zm00024ab318950;Zm00024ab320690;Zm00024ab320690;Zm00024ab322490;Zm00024ab322570;Zm00024ab331270;Zm00024ab331270;Zm00024ab332710;Zm00024ab335600;Zm00024ab335610;Zm00024ab335620;Zm00024ab335630;Zm00024ab335650;Zm00024ab335680;Zm00024ab335690;Zm00024ab337410;Zm00024ab337430;Zm00024ab337440;Zm00024ab337450;Zm00024ab338980;Zm00024ab339190;Zm00024ab339650;Zm00024ab340000;Zm00024ab340320;Zm00024ab340330;Zm00024ab345430;Zm00024ab345640;Zm00024ab347600;Zm00024ab347610;Zm00024ab348470;Zm00024ab349130;Zm00024ab349280;Zm00024ab349630;Zm00024ab349630;Zm00024ab349630;Zm00024ab349630;Zm00024ab349630;Zm00024ab349870;Zm00024ab349870;Zm00024ab350360;Zm00024ab350560;Zm00024ab350560;Zm00024ab350560;Zm00024ab350560;Zm00024ab356400;Zm00024ab356640;Zm00024ab357920;Zm00024ab359660;Zm00024ab361600;Zm00024ab362410;Zm00024ab362430;Zm00024ab366470;Zm00024ab366470;Zm00024ab368060;Zm00024ab368680;Zm00024ab373270;Zm00024ab373450;Zm00024ab373450;Zm00024ab375120;Zm00024ab375120;Zm00024ab375120;Zm00024ab380040;Zm00024ab386010;Zm00024ab389560;Zm00024ab389570;Zm00024ab389950;Zm00024ab390940;Zm00024ab391990;Zm00024ab392000;Zm00024ab392010;Zm00024ab393790;Zm00024ab395970;Zm00024ab398750;Zm00024ab398770;Zm00024ab401720;Zm00024ab402550;Zm00024ab403200;Zm00024ab411890;Zm00024ab414680;Zm00024ab419690;Zm00024ab419690;Zm00024ab420000;Zm00024ab421550;Zm00024ab426960;Zm00024ab426960;Zm00024ab426970;Zm00024ab426990;Zm00024ab427000;Zm00024ab427050;Zm00024ab427080;Zm00024ab427090;Zm00024ab427100;Zm00024ab428550;Zm00024ab428960;Zm00024ab428970;Zm00024ab432520;Zm00024ab435450;Zm00024ab435950;Zm00024ab438390;Zm00024ab441800;Zm00024ab445050;Zm00024ab450860
EC:1.12.7.-	With an iron-sulfur protein as acceptor.	Zm00024ab057980;Zm00024ab218510
EC:1.13.-.-	Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O2.	Zm00024ab148450;Zm00024ab273370;Zm00024ab374280
EC:1.13.11.-	With incorporation of two atoms of oxygen.	Zm00024ab006370;Zm00024ab006370;Zm00024ab018080;Zm00024ab032510;Zm00024ab035730;Zm00024ab035730;Zm00024ab051240;Zm00024ab055000;Zm00024ab055000;Zm00024ab055000;Zm00024ab055000;Zm00024ab055000;Zm00024ab056140;Zm00024ab057350;Zm00024ab057350;Zm00024ab068860;Zm00024ab068860;Zm00024ab068860;Zm00024ab068860;Zm00024ab068880;Zm00024ab068880;Zm00024ab068880;Zm00024ab075580;Zm00024ab082830;Zm00024ab119380;Zm00024ab136190;Zm00024ab136830;Zm00024ab147560;Zm00024ab147590;Zm00024ab147590;Zm00024ab147590;Zm00024ab155580;Zm00024ab168800;Zm00024ab168800;Zm00024ab176040;Zm00024ab191570;Zm00024ab209530;Zm00024ab209530;Zm00024ab209530;Zm00024ab210000;Zm00024ab220380;Zm00024ab221980;Zm00024ab240600;Zm00024ab240600;Zm00024ab256010;Zm00024ab272100;Zm00024ab299260;Zm00024ab305710;Zm00024ab314190;Zm00024ab316080;Zm00024ab348770;Zm00024ab372090;Zm00024ab384130;Zm00024ab410310;Zm00024ab410340;Zm00024ab410340;Zm00024ab411550;Zm00024ab426360;Zm00024ab426370;Zm00024ab433610;Zm00024ab433610
